Name,Band,Genre,Nationality,Life,Stage Name,Solist,Period,Wikipedia
flea,Red hot chili peppers,punk,Australia,1962-now,yes,no,90,https://it.wikipedia.org/wiki/Flea
geddy lee,Rush,rock,Canada,1953-now,no,no,80,https://it.wikipedia.org/wiki/Geddy_Lee
les claypool,Primus,rock,USA,1963-now,no,no,80,https://it.wikipedia.org/wiki/Les_Claypool
john paul Jones,Led zeppelin,hard rock,UK,1946-now,no,no,70,https://it.wikipedia.org/wiki/John_Paul_Jones_(musicista)
john Deacon,Queen,rock,UK,1951-now,no,no,80,https://it.wikipedia.org/wiki/John_Deacon
roger Waters,Pink Floyd,rock,UK,1943-now,no,no,70,https://it.wikipedia.org/wiki/Roger_Waters
tony Levin,King Crimson,rock,USA,1946-now,no,no,80,https://it.wikipedia.org/wiki/Tony_Levin
leland sklar,Phil Collins,rock,USA,1947-now,no,yes,70,https://it.wikipedia.org/wiki/Leland_Sklar
john Myung,Dream Theater,metal,USA,1967-now,no,no,80,https://it.wikipedia.org/wiki/John_Myung
john Entwistle,The Who,rock,UK,1944-2002,no,no,90,https://it.wikipedia.org/wiki/John_Entwistle
cliff burton,Metallica,metal,USA,1962-1986,no,no,80,https://it.wikipedia.org/wiki/Cliff_Burton
chris Squire,Yes,rock,UK,1948-2015,no,no,70,https://it.wikipedia.org/wiki/Chris_Squire
faso,Elio e le Storie Tese,pop-rock,Italy,1965-now,yes,no,90,https://it.wikipedia.org/wiki/Faso
Thundercat,Suicidal Tendencies,punk,USA,1984-now,yes,yes,90,https://it.wikipedia.org/wiki/Thundercat
duff mcKagan,Guns n' roses,punk,USA,1964-now,no,yes,90,https://it.wikipedia.org/wiki/Duff_McKagan
kim deal,Pixies,rock,USA,1961-now,no,no,90,https://it.wikipedia.org/wiki/Kim_Deal
peter hook,Joy division,punk,UK,1956-now,no,no,80,https://it.wikipedia.org/wiki/Peter_Hook
esperanza spalding,She was not part of a band,bosa nova,USA,1984-now,no,yes,2000,https://it.wikipedia.org/wiki/Esperanza_Spalding
joseph makwela,Makgona Tshole Band,mbaqanga,South Africa,1940-1998,no,no,60,https://en.wikipedia.org/wiki/Makgona_Tsohle_Band
mike watt,Minuteman,funk,USA,1957-now,no,yes,80,https://it.wikipedia.org/wiki/Mike_Watt
george porter,Meters,R&B,USA,1947-now,no,yes,70,https://en.wikipedia.org/wiki/George_Porter_Jr.
bill black,Blue moon boys,rock,USA,1926-1965,no,yes,60,https://it.wikipedia.org/wiki/Bill_Black
kim gordon,Sonic youth,rock,USA,1953-now,no,no,80,https://it.wikipedia.org/wiki/Kim_Gordon
saturnino,Jovanotti,pop,Italy,1969-now,yes,yes,90,https://it.wikipedia.org/wiki/Saturnino_(musicista)
pino palladio,Who,R&B,UK,1957-now,no,yes,80,https://it.wikipedia.org/wiki/Pino_Palladino
john mcVie,Fleetwood Mac,rock,UK,1945-now,no,no,60,https://it.wikipedia.org/wiki/John_McVie
luis johnson,Quincy Jones,pop,USA,1955-2015,no,yes,80,https://it.wikipedia.org/wiki/Louis_Johnson
lemmy kilmister,Motörhead,rock,UK,1945-2015,no,yes,90,https://it.wikipedia.org/wiki/Lemmy_Kilmister
bernard edwards,Chic,disco music,USA,1953-1996,no,yes,70,https://it.wikipedia.org/wiki/Bernard_Edwards
david hood,He was not part of a band,R&B,USA,1943-now,no,yes,60,https://en.wikipedia.org/wiki/David_Hood
bill wyman,He was not part of a band,pop,UK,1936-now,no,yes,70,https://it.wikipedia.org/wiki/Bill_Wyman
stanley clarke,Return to forever,rock,USA,1951-now,no,yes,70,https://it.wikipedia.org/wiki/Stanley_Clarke
paul mcCartney,Beatles,pop,UK,1942-now,no,no,70,https://it.wikipedia.org/wiki/Paul_McCartney
victoria de angelis,Maneskin,rock,Italy,2000-now,no,no,2020,https://it.wikipedia.org/wiki/Måneskin